id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"adsay, nv"	-0.4964	0.0738	2	65	672	69	626	66.3522	2014.6232	9.0725	0.9616
2	"akinci, b."	0.8432	0.0442	1	5	25	5	2	0.8	2013.8	0.4	0.16
3	"altundag, k."	1.0451	0.1573	1	8	14	3	25	1.8581	2012	8.3333	0.6194
4	"altunkaya, c."	1.3521	-0.1652	1	6	16	3	0	0	2014	0	0
5	"bagci, p."	-0.4479	-0.0441	7	36	329	28	279	26.1052	2014.3571	9.9643	0.9323
6	"balci, serdar"	0.3226	0.009	1	96	824	122	963	122	2014.1311	7.8934	1
7	"bandopadhyay, s."	-0.3503	-0.4273	4	30	148	12	92	12.1566	2012.9167	7.6667	1.013
8	"basturk, olca"	-0.2999	0.1445	2	51	510	48	488	48.7803	2014.375	10.1667	1.0163
9	"cakir, b."	1.0485	-0.3217	1	14	40	7	54	14.7754	2015.1429	7.7143	2.1108
10	"chen, z."	-1.027	-0.3116	6	10	19	2	6	0.3569	2014.5	3	0.1784
11	"cheng, jd"	-0.126	-0.3466	7	18	22	2	29	3.3338	2015	14.5	1.6669
12	"choi, h."	-0.1558	0.1599	5	31	158	13	95	9.7145	2015.0769	7.3077	0.7473
13	"coban, ı."	-0.7214	-0.5287	4	14	32	3	9	2.3092	2012	3	0.7697
14	"cohen, c"	-0.9173	0.1418	3	6	6	1	0	0	2017	0	0
15	"cohen, david"	1.1452	0.0828	1	2	2	1	12	4.8	2017	12	4.8
16	"colbert, l."	-1.1652	-0.3189	6	10	19	2	6	0.3569	2014.5	3	0.1784
17	"croce, cm"	0.8671	0.2639	1	7	13	2	118	11.5234	2014	59	5.7617
18	"curran, w. j."	-1.1331	-0.4016	6	10	19	2	6	0.3569	2014.5	3	0.1784
19	"dincer, n."	0.9309	-0.1885	1	10	31	6	61	10.3497	2013.6667	10.1667	1.7249
20	"dogan, h"	1.2867	-0.3024	1	7	17	5	13	8.1818	2014.6	2.6	1.6364
21	"dolgun, a."	-0.6652	-0.6244	4	14	32	3	9	2.3092	2012	3	0.7697
22	"dursun, n."	-0.6271	0.0724	3	31	155	15	93	11.0922	2013.8667	6.2	0.7395
23	"el-rayes, bf"	-0.7376	-0.1459	6	45	270	22	120	18.4111	2015.1818	5.4545	0.8369
